Country Name,Country Code,Series Name,Series Code,1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Benin,BEN,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,2200.59378390827,2237.52632357637,2297.99430259476,2317.48129543185,2367.76122438256,2431.44565209518,2485.11653056274,2523.60997287676,2532.99842789075,2566.34565710566,2528.6764808549,2549.19441865313,2625.21275541059,2673.76934866223,2656.43164182497,2634.13472813125,2633.93905955431,2681.35166132027,2792.02729966348,2883.89909753626,2849.82049921494,2859.39168542717,2933.8373843172,3040.1675201443,3156.43895692884,3186.47803099913,3321.55217445962
Bermuda,BMU,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,68313.3818545185,69643.4075205287,72403.8804374561,74677.0924239116,76772.3238467835,83181.5263421175,88231.783860841,86364.153739107,88727.3112693061,90195.8115646944,91114.0769901835,95615.3606970562,98257.9926982026,95855.800692618,89961.9827443671,88399.9159492493,85829.3782604391,80982.367755316,80503.6502910788,77361.1048812589,77842.7539032209,78149.352535184,81834.9558735543,81423.4084533215,81681.7266682559,76117.8047438727,80271.1325977909
Bhutan,BTN,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,3460.46119195868,3585.36296152298,3713.29472016911,3860.34720230696,4067.46515846083,4087.83067216439,4311.4468373407,4663.12762848317,4904.51097778026,5076.31536245983,5336.77621970682,5626.05470367768,6577.43176809794,6811.9331493701,7188.85919345285,7958.22686073042,8499.35429552819,8837.57637338481,8929.04620419453,9349.04438655465,9877.2472826014,10587.5703765341,10986.8881359297,11233.7805406359,11797.2841991497,10547.0515133499,10907.8567096084
Bolivia,BOL,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,4909.17825510505,5028.4440944067,5181.41649983923,5343.95740838511,5270.02753937849,5305.61925665853,5300.31433546862,5337.76584909331,5387.58177021488,5515.65581545136,5660.57481538611,5829.37132884552,5989.68992267452,6248.93395306159,6349.00790924636,6499.818152836,6724.30066769052,6952.73837058014,7305.22798236691,7581.59842205182,7825.76675167361,8034.172726021,8244.93344455748,8466.29318679828,8528.74880229752,7679.93318689753,8052.17743504708
Bosnia and Herzegovina,BIH,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,2096.39183747614,3801.91488391335,4932.6622937457,5608.88590081532,6091.15750528624,6825.43938833593,6964.87380542226,7308.96911538109,7618.2056295805,8180.03880818132,8599.63522437722,9146.11029924738,9803.10162492972,10505.7970454017,10362.6524963806,10635.1871989919,10932.1366653321,11045.2120495588,11482.3037984367,11766.0030813171,12290.3503411425,12835.3062255165,13400.0411074817,14064.3328908763,14632.1258848123,14356.4233352863,15663.742746228
Botswana,BWA,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,9956.808322388,10280.6266307681,10880.8526460191,10689.2167939379,11474.064720341,11462.0791450141,11262.8989022898,11725.5596219232,12054.874381419,12166.4670419996,12494.2168522251,13287.2254092564,13783.3794160472,13945.5986041353,11729.5652130738,12653.3706536362,13250.2511346351,12975.9478640023,14144.518115089,14665.2723219081,13682.7041799685,14373.5192516705,14656.772988721,14962.0811110031,15117.9949961611,13545.6736282111,14840.9133313245
Brazil,BRA,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,11151.1916421663,11224.399456481,11432.650568882,11304.0969954988,11196.8385320757,11529.4866151644,11536.3638321407,11739.431843405,11733.4111975411,12268.6638325485,12520.8549899008,12877.4441830465,13518.8477758477,14067.9458125762,13916.9632254971,14824.7411544273,15271.4693518003,15425.3529285957,15751.4844481235,15695.6431041785,15011.5771943528,14402.4940082453,14477.86176806,14619.5911298271,14685.1278924673,14021.9576230488,14592.3529599447
British Virgin Islands,VGB,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Brunei Darussalam,BRN,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,71966.0974087827,72320.987984446,69660.1860061146,67770.1724900991,68366.6631773269,68865.7872998496,69338.9207191783,70631.8736782129,71331.7527275359,70415.4241541023,69482.3838018272,71352.8857884172,70342.4093047527,67934.0640848731,65753.4057014535,66484.2415406151,68037.5229790103,67792.7546260517,65534.6831602734,63131.186248062,62170.0870232201,59980.9887454086,60173.0511336013,59650.2315273035,61424.3643132688,61603.5508036186,60127.0236886271
Bulgaria,BGR,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,11363.3427355321,12016.6634946614,10383.4879358852,10849.0860502794,9994.06170175423,10504.2640541488,11125.1878347963,12036.9210854513,12768.0512950833,13702.3412525049,14780.0991294472,15905.8770319799,17089.5109303315,18264.7784421857,17767.5352996682,18160.6297698445,18661.5020771532,18911.6067207703,18911.1484206025,19202.8316894772,19988.2481842507,20740.8194312493,21469.9708893116,22206.156990417,23266.0693152803,22479.5829396574,24393.7755346385
Burkina Faso,BFA,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,1049.08371744821,1135.25666022841,1176.38390281081,1228.1228689112,1280.92272037571,1266.74481663807,1310.07221197696,1325.70342969155,1385.45504828434,1402.78437162473,1477.03982209929,1521.15445427702,1536.3858137955,1578.34582603774,1578.14893890186,1661.87202140763,1720.08252228733,1776.39099745576,1823.59495248367,1846.64512676697,1862.85471186197,1916.7563817824,1978.15501161376,2051.21843060824,2110.06231119074,2093.73364729869,2179.78903866639
Burundi,BDI,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,956.490976068577,880.309412060732,867.284264991798,891.699843688771,862.006680432851,837.348411451095,833.670878742379,846.747295184596,810.552335241984,818.746063270769,796.108713073826,809.696010652699,807.44748064358,812.592169776878,801.803427362171,804.354940804194,807.6649575843,814.32077076854,824.610522607553,831.294838603726,781.579287257152,764.336602194152,750.787616270977,740.448222531284,729.65846261506,711.355263408189,705.030409368266
Cabo Verde,CPV,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,2391.2603832528,2601.7137003804,2826.22293535103,3110.93042599203,3387.62242199753,3798.67985954743,3819.22049650592,3957.98460532039,4064.37985932069,4419.0526087191,4664.65925578008,4975.91839607963,5664.38919700786,5974.77507070275,5838.21539225105,5860.49830249957,6020.22315128359,6013.05507442437,5993.11899581994,5961.99622773879,5955.60672785455,6166.31397169927,6320.3420963092,6534.46040879766,6835.07882904702,5768.53856797954,6114.1332865953
Cambodia,KHM,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,1153.92648282762,1193.23087106358,1214.01172932637,1244.98094491353,1376.04671682194,1486.10711387507,1578.62770084419,1652.53813173942,1761.42110244859,1909.418456096,2124.83745733056,2313.3303319564,2505.52034946162,2629.25905780023,2592.15546100049,2706.99181562408,2856.53078627916,3021.33221937539,3197.53210036963,3378.36459051313,3565.24506707109,3761.91133767675,3972.72416392795,4217.62179096226,4464.29444969141,4276.18453899178,4354.56520628203
Cameroon,CMR,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,2710.938075197,2749.52003445748,2798.57735763936,2854.37009314928,2905.13115705112,2937.99187273851,2985.57790583058,3036.76770226799,3116.15282012536,3245.49589268529,3228.36116059091,3261.45165542822,3309.28229522583,3308.31990792803,3298.40745197327,3298.62457927485,3314.89823416167,3371.97553263081,3442.20062679272,3530.28319106425,3614.75571608491,3667.32267475561,3691.09472365252,3732.50124767444,3756.50956165869,3665.51058111338,3700.46428911298
Canada,CAN,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,..,..,36910.477860824,38031.624764122,39671.3846482747,41338.6470179142,41623.9503409049,42416.4087525762,42793.0792526308,43704.4139089537,44680.7964889693,45396.8396580252,45888.4763265252,45851.6302484565,44003.6170419636,44861.5239641879,45822.5964338567,46126.5138859002,46704.7622355677,47564.609109622,47522.1406673151,47457.5853457244,48317.1745835151,48962.4815108923,49171.5110858739,46064.2539577156,47892.9471262262
Cayman Islands,CYM,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,..,..,..,..,..,..,..,..,..,..,..,84778.3846273679,84870.0122137255,82125.1148887631,74068.8808625605,70095.8958134922,69103.2437128229,68270.0366376175,67537.5488446491,67762.3608420053,68135.4640728355,68824.426036871,69534.7719101223,71046.021848765,72402.8366534326,67093.4023973016,67500.1043024157
Central African Republic,CAF,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,1080.77006109473,1010.74388874746,1035.10745821896,1054.3129732191,1062.29825753147,1007.24783442941,1028.79140785186,1042.70864454409,962.86483675182,998.689099661647,985.324815965559,1011.77750952868,1038.75013264676,1038.33528617758,1103.4637660212,1130.89570808081,1160.41474143552,1208.51577049925,764.051500246645,765.259553983357,795.037018678033,818.395995276405,839.600009452135,854.647491304949,861.766788755873,847.765012420583,837.504685725376
Chad,TCD,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,957.24650996256,936.123706359766,955.783478291373,987.982878446301,947.703547525468,907.833513620676,980.469762610909,1027.66998521895,1133.06546734895,1448.4099900066,1632.95423350515,1586.36410518888,1583.70022758587,1576.76519728145,1586.45444016882,1741.0539976033,1682.65774621558,1769.32492045591,1804.82313259821,1861.6929035836,1853.25936456204,1683.47808848358,1579.76060047631,1563.5439331455,1561.99667256928,1489.18671217966,1425.49451245397
Channel Islands,CHI,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,13122.9463422861,13825.1561998113,14652.7751930939,15074.5801101413,14855.3571822158,15415.7542853766,15725.6011594356,16053.6546085706,16636.6537463516,17571.024797895,18415.7549895934,19339.487624585,20140.5296504463,20695.5625606217,20255.0987836444,21225.1038566237,22323.7230847248,23467.9787261648,24011.5910135613,24197.1832800794,24464.7456624553,24599.3746330388,24546.9124208604,25071.9900691942,24816.6110833991,23017.6893554306,25449.13065237
